,median,mean,std
dummy1_rna,-0.3593630410853294,-0.010211736922358447,0.8983416888206786
dummy2_rna,-0.0205598620816213,-0.13944962693910826,0.9100376974160476
dummy3_rna,0.1174011172176549,0.15115430043200245,0.7765694330875782
dummy4_rna,0.1087675226675327,0.1691632801899295,1.2624708489437395
dummy1_dna,-0.13121066232335132,-0.05269469958388865,0.7439166577612799
dummy2_dna,-0.2810305430109183,-0.15043193442185443,1.4117679728235009
dummy3_dna,-0.2903531300525917,-0.026654507400327376,1.0005325687334587
dummy4_dna,-0.0052807986100183,0.0738346865110452,0.9613937110365356
dummy5_dna,-0.0078619876780231,-0.1820528233159379,0.9213080789010724
dummy6_dna,0.5327600158923402,0.2601575559149639,1.2960484612765706
dummy7_dna,0.3214162516716229,0.22378788975800706,0.5140700405022747
dummy8_dna,-0.077660635192418,0.2548764257436101,1.2510835503712179
dummy9_dna,0.4503068372664125,0.42212715574744386,0.9712701031420486
dummy1_cnv,0.4272000512253422,0.10459368289803447,1.0087660111851418
dummy2_cnv,0.0816413129399616,0.04034504792278404,1.0232931278413981
dummy3_cnv,0.6856844232136767,0.2824359033225462,1.468795289156887
dummy4_cnv,0.087658546469984,0.13148731839894587,0.9882116170262323
dummy5_cnv,0.2148216161191666,0.05983711943917022,1.224796814672267
dummy6_cnv,0.09054074507167355,0.18176353783044322,0.922533205308479
dummy7_cnv,-0.31597821498736,-0.21410321327094656,1.0096297617903252
dummy8_cnv,0.3320497701460662,0.4646731846750144,0.8451552788310098
dummy9_cnv,0.13515942863264915,0.040396349220562906,1.3430041728662105
dummy10_cnv,-0.1790023315478637,-0.1301947940159799,1.159800512827815
dummy11_cnv,0.0106782105772985,0.1133950488559886,0.7137451783162082
dummy12_cnv,0.2019974723082308,-0.11164564729400797,1.0575989333841613
dummy13_cnv,-0.4100998515438412,-0.09747914046101522,1.1499178842344773
dummy14_cnv,0.10461091902703555,0.24084280060050625,1.2033062625630926
